aircraft_id,tail_number,aircraft_type,operator,fleet_id,entry_service_date,manufacturer,total_flight_hours,base_airport,active
194,N236MN,B737-800,American Airlines,FLEET-016,2018-11-15,Boeing,28286,ATL,True
195,N722KT,B737-900,JetBlue Airways,FLEET-003,2010-03-31,Boeing,33528,ORD,True
196,N926RW,B747-400F,FedEx Express,FLEET-019,2017-12-13,Boeing,48884,SEA,True
197,N727OQ,MD-11F,Frontier Airlines,FLEET-010,2015-11-08,Boeing,5396,MSP,True
198,N116NO,MD-11F,Delta Air Lines,FLEET-007,2012-10-24,Boeing,50950,LAX,True
199,N179XD,A321-200,JetBlue Airways,FLEET-014,2011-07-10,Airbus,16210,SEA,True
200,N990VP,A320-200,FedEx Express,FLEET-005,2017-01-18,Airbus,15043,ATL,True
201,N557DX,B737-900,Delta Air Lines,FLEET-014,2015-08-20,Boeing,52184,SEA,True
202,N560RR,B737-800,Spirit Airlines,FLEET-019,2012-10-04,Boeing,3283,SEA,True
203,N862XB,A320-200,Alaska Airlines,FLEET-014,2012-05-19,Airbus,39219,JFK,True
204,N120QG,B737-900,UPS Airlines,FLEET-019,2017-03-27,Boeing,56804,ORD,True
205,N337RL,B737-900,Southwest Airlines,FLEET-012,2010-07-15,Boeing,34256,ATL,True
206,N352RY,B767-300,Frontier Airlines,FLEET-014,2014-07-15,Boeing,3047,MSP,True
207,N139VW,B737-800,Spirit Airlines,FLEET-020,2010-09-19,Boeing,54861,JFK,True
208,N307LA,B777-200,FedEx Express,FLEET-011,2020-10-05,Boeing,25560,ORD,True
209,N475EX,A321-200,Frontier Airlines,FLEET-003,2020-08-22,Airbus,29601,DFW,True
210,N684NO,B767-300,Spirit Airlines,FLEET-013,2016-07-23,Boeing,18595,SEA,True
211,N441TC,A320-200,FedEx Express,FLEET-019,2017-07-17,Airbus,43855,DFW,True
212,N365IO,B737-800,Frontier Airlines,FLEET-003,2010-01-24,Boeing,44279,DEN,True
213,N522GY,A321-200,JetBlue Airways,FLEET-009,2013-08-02,Airbus,46275,BOS,True
214,N219VV,B737-900,Alaska Airlines,FLEET-010,2013-04-10,Boeing,44426,MSP,True
215,N810MT,B737-800,FedEx Express,FLEET-008,2012-02-17,Boeing,4331,DFW,True
216,N564YI,B767-300,FedEx Express,FLEET-005,2018-02-11,Boeing,38028,JFK,True
217,N259FE,A330-300,American Airlines,FLEET-014,2011-07-07,Airbus,19378,DEN,True
218,N393VZ,MD-11F,Southwest Airlines,FLEET-018,2019-01-02,Boeing,13041,SEA,True
219,N552OC,A321-200,American Airlines,FLEET-001,2012-04-02,Airbus,53881,SEA,True
220,N170JD,A321-200,Frontier Airlines,FLEET-014,2014-03-29,Airbus,56469,DEN,True
221,N126OW,B757-200,UPS Airlines,FLEET-020,2012-11-10,Boeing,17556,SEA,True
222,N288SM,B767-300,Delta Air Lines,FLEET-014,2017-07-29,Boeing,42093,BOS,True
223,N639KY,A320-200,FedEx Express,FLEET-008,2019-07-28,Airbus,56754,ORD,True
224,N408GY,MD-11F,Delta Air Lines,FLEET-017,2010-10-19,Boeing,23840,SEA,True
225,N731EI,B767-300,United Airlines,FLEET-004,2019-01-27,Boeing,25733,LAX,True
226,N102YU,B737-900,United Airlines,FLEET-006,2018-06-06,Boeing,44924,MIA,True
227,N975VS,B747-400F,Frontier Airlines,FLEET-015,2020-01-15,Boeing,37809,MSP,True
228,N934CP,B757-200,UPS Airlines,FLEET-015,2012-04-16,Boeing,59605,MIA,True
229,N223LQ,B747-400F,FedEx Express,FLEET-002,2020-08-06,Boeing,48707,ATL,True
230,N828LJ,B737-800,JetBlue Airways,FLEET-002,2014-12-31,Boeing,38378,ATL,True
231,N646QM,B747-400F,Delta Air Lines,FLEET-020,2019-04-08,Boeing,29920,MIA,True
232,N283UG,A330-300,American Airlines,FLEET-019,2016-03-17,Airbus,56269,SEA,True
233,N395OD,B757-200,Spirit Airlines,FLEET-002,2017-01-29,Boeing,7450,SEA,False
234,N252BH,MD-11F,Delta Air Lines,FLEET-006,2017-05-21,Boeing,20247,MIA,False
235,N606FL,MD-11F,Spirit Airlines,FLEET-020,2014-01-19,Boeing,30850,SEA,True
236,N576VT,A321-200,Alaska Airlines,FLEET-011,2017-07-15,Airbus,20140,DFW,True
237,N405DR,B737-900,UPS Airlines,FLEET-011,2017-03-20,Boeing,22847,DEN,True
238,N440CS,B757-200,Frontier Airlines,FLEET-011,2010-04-28,Boeing,15505,ORD,True
239,N301TW,A321-200,FedEx Express,FLEET-005,2014-06-05,Airbus,12239,ATL,True
240,N515VW,A320-200,Alaska Airlines,FLEET-005,2014-03-15,Airbus,28375,BOS,True
241,N734AL,MD-11F,Alaska Airlines,FLEET-012,2016-02-16,Boeing,17849,JFK,True
242,N835GH,A320-200,Southwest Airlines,FLEET-016,2016-03-25,Airbus,45624,ORD,True
243,N970YR,B737-900,FedEx Express,FLEET-017,2020-05-05,Boeing,5251,BOS,True
244,N939TM,B747-400F,UPS Airlines,FLEET-005,2016-04-22,Boeing,41137,ORD,True
245,N546BN,B757-200,Frontier Airlines,FLEET-015,2011-02-02,Boeing,55647,SEA,True
246,N581JY,A330-300,Southwest Airlines,FLEET-020,2018-11-21,Airbus,33968,MIA,True
247,N817GL,B777-200,Southwest Airlines,FLEET-016,2012-10-15,Boeing,22582,MSP,False
248,N143QQ,B777-200,JetBlue Airways,FLEET-013,2016-04-15,Boeing,56932,DEN,False
249,N312IB,B747-400F,Southwest Airlines,FLEET-005,2014-12-27,Boeing,37025,MIA,True
250,N777DJ,B737-900,Spirit Airlines,FLEET-017,2018-03-22,Boeing,41852,ATL,True
251,N720EN,A330-300,FedEx Express,FLEET-017,2014-04-07,Airbus,41108,ATL,False
252,N684AN,A330-300,Southwest Airlines,FLEET-012,2012-11-02,Airbus,23072,DFW,True
253,N480CL,B767-300,UPS Airlines,FLEET-013,2013-09-08,Boeing,15010,LAX,True
254,N857EB,A320-200,Delta Air Lines,FLEET-005,2012-06-10,Airbus,47629,JFK,True
255,N578OT,B757-200,JetBlue Airways,FLEET-016,2016-02-09,Boeing,40409,DFW,True
256,N970ER,B777-200,American Airlines,FLEET-007,2020-03-13,Boeing,34421,MSP,True
257,N877JD,B777-200,Delta Air Lines,FLEET-008,2012-10-03,Boeing,16348,DFW,True
258,N324DP,A330-300,Frontier Airlines,FLEET-003,2019-05-12,Airbus,14982,MSP,True
259,N493WE,B747-400F,Spirit Airlines,FLEET-008,2017-11-25,Boeing,35561,JFK,True
260,N861SN,A320-200,Frontier Airlines,FLEET-008,2019-02-05,Airbus,42609,ORD,True
261,N178CQ,MD-11F,Delta Air Lines,FLEET-012,2014-06-06,Boeing,45708,BOS,True
262,N440MP,MD-11F,Spirit Airlines,FLEET-001,2011-05-07,Boeing,38335,DFW,True
263,N248LZ,B777-200,UPS Airlines,FLEET-001,2018-01-29,Boeing,44887,ATL,True
264,N509EB,B747-400F,Delta Air Lines,FLEET-011,2011-04-30,Boeing,20055,SEA,True
265,N952UF,A330-300,United Airlines,FLEET-016,2017-06-24,Airbus,24254,ORD,True
266,N553GB,B737-800,JetBlue Airways,FLEET-010,2011-10-04,Boeing,45231,LAX,True
267,N774MR,B777-200,UPS Airlines,FLEET-017,2010-08-09,Boeing,32123,MIA,True
268,N735YB,B777-200,Southwest Airlines,FLEET-012,2016-01-30,Boeing,32207,SEA,True
269,N613XO,A321-200,UPS Airlines,FLEET-013,2010-09-03,Airbus,14458,DEN,True
270,N431LZ,A330-300,United Airlines,FLEET-016,2019-02-28,Airbus,17083,BOS,True
271,N116NT,A321-200,Delta Air Lines,FLEET-003,2012-09-03,Airbus,46320,ORD,True
272,N635KV,B737-900,UPS Airlines,FLEET-003,2020-07-22,Boeing,44994,JFK,True
273,N127WO,A321-200,Frontier Airlines,FLEET-006,2018-05-29,Airbus,38977,SEA,True
274,N829IU,B747-400F,UPS Airlines,FLEET-014,2010-12-28,Boeing,24059,DFW,True
275,N918ZX,A320-200,Alaska Airlines,FLEET-017,2017-04-19,Airbus,51777,ORD,False
276,N389BE,B747-400F,United Airlines,FLEET-015,2019-11-04,Boeing,24169,ATL,True
277,N675SB,A320-200,UPS Airlines,FLEET-013,2019-12-01,Airbus,30283,MSP,True
278,N555OY,A320-200,JetBlue Airways,FLEET-012,2011-12-07,Airbus,57975,ATL,True
279,N561KU,A320-200,Spirit Airlines,FLEET-013,2020-03-31,Airbus,53023,JFK,True
280,N437PQ,B737-800,Delta Air Lines,FLEET-006,2013-02-01,Boeing,8785,DEN,True
281,N761WO,B777-200,Delta Air Lines,FLEET-009,2012-05-29,Boeing,31886,LAX,False
282,N617DE,A330-300,FedEx Express,FLEET-007,2015-04-30,Airbus,48641,ATL,True
283,N261VL,B737-900,JetBlue Airways,FLEET-011,2012-05-07,Boeing,14464,ATL,True
284,N518WW,B777-200,FedEx Express,FLEET-006,2012-12-15,Boeing,37551,ORD,True
285,N645GZ,B767-300,Spirit Airlines,FLEET-004,2020-08-21,Boeing,32132,ORD,True
286,N156RS,B737-800,JetBlue Airways,FLEET-012,2019-07-25,Boeing,32526,SEA,True
